,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math
132,2023,Lawrence,1490000,650,79.7,10.2,4.2,0.3,5.7,0,1490000,0,1.2,1.3,93.4,0.4,0,3.7,47.3,52.5,414,418,415
133,2023,Lee,1500000,52,98.1,1.9,0,0,0,0,1500000,0.1,3.4,0.6,8.5,2.6,0,84.8,49.8,50.2,35,528,531
134,2023,Leicester,1510000,86,90.7,1.2,0,0,8.1,0,1510000,0.2,2.6,5.4,8.9,2.7,0.1,80.1,45.8,54.1,47,569,564
135,2023,Lenox,1520000,58,100,0,0,0,0,0,1520000,0,4.4,0.4,8.5,3.8,0,82.9,50,50,34,642,639
136,2023,Leominster,1530000,405,95.1,2.5,1,0,1.5,0,1530000,0.1,3.2,8.2,34.9,4.2,0.1,49.3,47.9,52,137,557,546
137,2023,Lexington,1550000,552,97.6,2,0,0,0.4,0,1550000,0.1,39.3,4,4,6.8,0,45.9,49.1,50.9,613,659,679
138,2023,Lincoln-Sudbury,6950000,339,96.2,3.2,0,0.3,0.3,0,6950000,0.1,6.2,4.8,4.6,4.4,0.1,79.8,47.2,52.8,387,627,640
139,2023,Littleton,1580000,104,98.1,1.9,0,0,0,0,1580000,0.2,9.3,0.9,1.8,2.8,0.2,84.8,52.1,47.8,115,607,597
140,2023,Longmeadow,1590000,201,97.5,1,0,0,1.5,0,1590000,0,9.9,2.4,5,3.8,0.1,78.7,49,51,213,608,603
141,2023,Lowell,1600000,562,78.1,6.6,3,0.2,12.1,0,1600000,0.1,28.7,7.9,33.1,3.9,0,26.4,48.4,51.6,267,532,535
142,2023,Ludlow,1610000,192,92.7,2.1,1,0,4.2,0,1610000,0.4,0.7,2,10.8,2.6,0,83.5,49.5,50.5,98,560,562
143,2023,Lunenburg,1620000,88,100,0,0,0,0,0,1620000,0.4,2,2.1,7,2.1,0.3,86.1,48.6,51.4,91,576,591
144,2023,Lynn,1630000,"1,068",81.2,3,3.2,0.2,12.5,0,1630000,0.3,8.5,9.2,63,3.5,0,15.4,47.5,52.4,232,499,478
145,2023,Lynnfield,1640000,126,96.8,3.2,0,0,0,0,1640000,0,6,1.7,5.3,2.7,0,84.2,50.1,49.9,160,574,567
146,2023,Malden,1650000,350,88.6,5.4,0.3,0.3,5.4,0,1650000,0.1,23.2,19.3,24.7,4.2,0,28.4,48.2,51.7,401,495,511
147,2023,Manchester Essex Regional,6980000,115,99.1,0.9,0,0,0,0,6980000,0,0.9,0.6,1.3,1.1,0,96.1,50.8,49.2,105,622,594
148,2023,Mansfield,1670000,286,95.5,4.5,0,0,0,0,1670000,0.1,6.6,3.6,4.7,3.8,0,81.3,47.6,52.4,270,582,574
149,2023,Map Academy Charter School (District),35170000,10,10,80,0,0,10,0,35170000,0.8,0,7.7,20,6.2,1.5,63.8,36.9,63.1,2,nil,nil
150,2023,Marblehead,1680000,212,98.6,1.4,0,0,0,0,1680000,0.1,1.6,2.8,6.9,3.2,0,85.4,49.4,50.6,213,592,570
151,2023,Marlborough,1700000,208,88.5,2.9,1,0,7.7,0,1700000,0.1,3.5,3.6,49,2.6,0.1,41.1,48.1,51.9,153,513,496
152,2023,Marshfield,1710000,300,96.3,1.3,0.3,0,2,0,1710000,0.1,1.2,0.4,2.9,1.7,0.1,93.5,48.8,51.2,257,574,563
153,2023,Martha's Vineyard,7000000,162,92,2.5,0.6,0,4.9,0,7000000,2.5,1.1,4.8,15.7,3.4,0.6,71.8,44.7,55.1,129,570,550
154,2023,Masconomet,7050000,267,95.9,2.6,0,0.7,0.7,0,7050000,0.2,3.8,0.4,2.5,2.1,0.1,91,52.2,47.8,278,585,574
155,2023,Mashpee,1720000,105,95.2,2.9,0,0,1.9,0,1720000,6.1,2.2,4.3,5,8.2,0.2,73.9,48.6,51.4,67,559,536
156,2023,Match Charter Public School (District),4690000,64,90.6,6.3,1.6,0,1.6,0,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,64,438,448
157,2023,Maynard,1740000,61,93.4,3.3,0,0,3.3,0,1740000,0.1,2,2.6,11.9,4.7,0,78.7,49.2,50.8,36,601,573
