...1,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math,Student / Teacher Ratio,Low Income %.y
154,2023,masconomet,7050000,267,95.9,2.6,0,0.7,0.7,0,7050000,0.2,3.8,0.4,2.5,2.1,0.1,91,52.2,47.8,278,585,574,11.7,10.5
155,2023,mashpee,1720000,105,95.2,2.9,0,0,1.9,0,1720000,6.1,2.2,4.3,5,8.2,0.2,73.9,48.6,51.4,67,559,536,10.6,40.8
157,2023,maynard,1740000,61,93.4,3.3,0,0,3.3,0,1740000,0.1,2,2.6,11.9,4.7,0,78.7,49.2,50.8,36,601,573,10.4,25.5
158,2023,medfield,1750000,189,98.9,0.5,0.5,0,0,0,1750000,0.3,4.2,1,3.9,3.3,0,87.3,48.7,51.3,205,602,603,12,8
159,2023,medford,1760000,294,93.9,1.7,0.3,0.3,3.7,0,1760000,0.4,9.6,12.8,12.7,4.8,0.1,59.6,48.3,51.7,163,578,557,10.3,38.2
160,2023,medway,1770000,153,96.1,3.9,0,0,0,0,1770000,0.1,2.8,1.5,3.9,2.3,0.1,89.3,50.4,49.6,151,576,564,13.5,16.1
161,2023,melrose,1780000,203,97.5,1,0,0,1.5,0,1780000,0,5.8,5.3,4.9,5,0,79,51.1,48.9,187,597,562,13.7,15.7
162,2023,mendon-upton,7100000,136,98.5,1.5,0,0,0,0,7100000,0.1,2.2,0.5,4.3,2.4,0,90.5,49.9,50.1,137,593,548,12.9,14.6
163,2023,methuen,1810000,397,92.2,4.3,1.5,0,2,0,1810000,0.1,3.9,2,41.3,4.7,0.1,47.9,47.7,52.3,155,547,538,12.1,54.3
164,2023,middleborough,1820000,179,96.6,1.7,0,0,1.7,0,1820000,0.9,1.1,2.5,3.1,3.8,0,88.6,48.5,51.5,140,553,541,14,40.7
165,2023,milford,1850000,297,83.5,3.7,0.7,0.3,11.8,0,1850000,1.5,2.1,2.9,28.4,3.5,0,61.4,47.7,52.3,143,558,528,11.2,54.1
166,2023,millbury,1860000,115,93.9,1.7,0,0,4.3,0,1860000,0,3.4,2.8,7.4,5,0.1,81.2,50.1,49.9,52,537,525,12.6,33.6
167,2023,millis,1870000,71,93,2.8,0,0,4.2,0,1870000,0.2,2.2,1.1,7.9,3.8,0.1,84.6,50.2,49.8,71,559,544,11.6,17.5
